id;nama;propinsi;kab;alamat;jenis;kelas;status_blu;kepemilikan;total_tempat_tidur;total_layanan;total_tenaga_kerja
1174021;RS Umum Sakinah;Aceh;Kota Lhokseumawe;Jl. Antara No. 30 Kp. Jawa Baru Lhokseumawe;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;68;22;119
1174100;RS Tk. IV Lhokseumawe Aceh Utara;Aceh;Kota Lhokseumawe;Jl. Samudra No.53A Kp Jawa Kec. Banda Sakti  Kota Lhokseumawe ;Rumah Sakit Umum;C;Non BLU/BLUD;TNI AD;171;60;303
1110104;RS Umum Jeumpa Hospital;Aceh;Bireuen;Jl. B.Aceh - Medan, Km 220 No 102 Dsn.Teratai, Desa Geulanggang Baro, Kecamatan Kota Juang;Rumah Sakit Umum;C;Non BLU/BLUD;SWASTA/LAINNYA;104;28;151
1113023;RS Tanoh Gayo;Aceh;Gayo Lues;Jl. Blower Kp Pers. Sentang, Desa/Kelurahan Bustanussalam, Kec. Blangkejeren;Rumah Sakit Umum;D;Non BLU/BLUD;Kementerian Lain;54;22;0
1116011;RS Umum Daerah Teuku Umar Kabupaten Aceh Jaya;Aceh;Aceh Jaya;Jln. Ali Gunong, Lr. PMI No. 1, Calang, Kec. Krueng Sabee Kabupaten Aceh Jaya Propinsi Aceh;Rumah Sakit Umum;C;BLUD;Pemkab;107;23;406
1172031;RS AL Sabang;Aceh;Kota Sabang;Jl. Teuku Chik Ditiro, Kel. Kota Atas, Kec. Sukakarya;Rumah Sakit Umum;D;Non BLU/BLUD;TNI AL;52;17;20
1103022;RS Umum Daerah Type D Pratama T. Cut Ali;Aceh;Aceh Selatan;Jl. Padang Ketek Gampong Kedai Rundeng Kec. Kluet Selatan;Rumah Sakit Umum;D PRATAMA;Non BLU/BLUD;Pemkab;0;3;0
1173012;RS Umum Daerah Langsa;Aceh;Kota Langsa;Jl. Jend. Ahmad Yani No.1, Gampong Jawa, Kec. Langsa Kota, Kota Langsa, Provinsi Aceh.;Rumah Sakit Umum;B;BLUD;Pemkot;361;65;1169
1109027;RS Umum Daerah TGK. Abdullah Syafii Beureuneun;Aceh;Pidie;Jl. Banda Aceh-Medan Km. 125,5 Kota Mini  Beureunuen Kec. Mutiara Timur;Rumah Sakit Umum;C;BLUD;Pemkab;200;25;801
1171085;RS Umum Malahayati;Aceh;Kota Banda Aceh;Jl. Cut Nyak Dhien No. 498 Banda Aceh;Rumah Sakit Umum;D;Non BLU/BLUD;Organisasi Sosial;42;13;18
1108017;RS Umum Ibnu Sina;Aceh;Aceh Besar;Jl. Banda Aceh-Medan Km 25,5 Kecamatan Indrapuri, Kabupaten Aceh Besar, Provinsi Aceh. ;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;63;33;67
1113012;RS Umum Muhammad Ali Kasim;Aceh;Gayo Lues;Jl. Pangur, Desa Pangur, Kecamatan Dabun Gelang;Rumah Sakit Umum;C;BLUD;Pemkab;159;24;640
1105034;RS Umum Pertamina Rantau;Aceh;Aceh Tamiang;Jl. Cepu No 1 Komplek Pertamina Rantau Aceh Tamiang;Rumah Sakit Umum;D;Non BLU/BLUD;BUMN;50;21;49
1111006;RS Umum Daerah dr. Muchtar Hasbi;Aceh;Aceh Utara;Jl. Medan Banda Aceh Alue Mudem Landing Lhoksukon;Rumah Sakit Umum;D PRATAMA;Non BLU/BLUD;Pemkab;28;13;0
1110027;RS Umum Malahayati;Aceh;Bireuen;Jl. Medan-Banda Aceh No. 100 M, Meunasah Blang, Bireuen;Rumah Sakit Umum;D;Non BLU/BLUD;Organisasi Sosial;74;35;123
1171106;RS Umum Teungku Fakinah;Aceh;Kota Banda Aceh;Jl. Jend. Sudirman 27-29 Banda Aceh;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;113;39;148
1105056;RS Umum Daerah dr. Zubir Mahmud;Aceh;Aceh Timur;Jl. Banda Aceh-Medan Km. 372 Desa Seuneubok Barat Kecamatan Idi Timur;Rumah Sakit Umum;B;BLUD;Pemkab;246;47;636
1115012;RS Umum Daerah Sultan Iskandar Muda Nagan Raya;Aceh;Nagan Raya;Jl. Nasional Meulaboh-Tapak Tuan KM. 28,5 Ujung Patihah Kabupaten Nagan Raya;Rumah Sakit Umum;C;BLUD;Pemkab;215;44;577
1110103;RS Umum Avicenna;Aceh;Bireuen;Jln. Laksamana Malahayati/Kuala Raja No.1 Lhok Awe Teungoh, Kecamatan Kota Juang, Kabupaten Bireuen, Provinsi Aceh, 24252;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;50;17;101
1111029;RS Zahra;Aceh;Aceh Utara;Jl. Medan-Banda Aceh, KM 303, Meunasah Reudeup, Kec Lhoksukon;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;56;11;0
1103021;RS Cahaya Sehat;Aceh;Aceh Selatan;Jl. Panglima Raja Lelo, No. 10, Gampong Hilir, Kec. Tapaktuan;Rumah Sakit Umum;D;Non BLU/BLUD;Kementerian Lain;71;20;0
1105067;RS Umum Daerah Sultan Abdul Aziz Syah Peureulak;Aceh;Aceh Timur;Jl. Monisa No.1 Desa Lhok Dalam Kecamatan Peureulak Kabupaten Aceh Timur Provinsi Aceh;Rumah Sakit Umum;C;BLUD;Pemkab;170;34;480
1174064;RS Umum Kasih Ibu Lhokseumawe;Aceh;Kota Lhokseumawe;Jl. Merdeka No. 17 Dusun III, Kel. Kuta Blang, Kec. Banda Sakti;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;116;26;80
1171161;RS Umum Cempaka Lima;Aceh;Kota Banda Aceh;Jl. Politeknik No 23 Dusun Meunasah Dayah, Lr B, Gp.Beurawe, Kecamatan Kuta Alam, Banda Aceh;Rumah Sakit Umum;C;Non BLU/BLUD;Perusahaan;135;96;0
1171121;RS Ibu dan Anak Pemerintah Aceh;Aceh;Kota Banda Aceh;Jl. Prof. A. Madjid Ibrahim I No. 3 Punge Jurong Kec. Meuraxa;Rumah Sakit Khusus Ibu dan Anak;B;BLUD;Pemprop;108;29;453
1102016;RS Umum Daerah Aceh Singkil;Aceh;Aceh Singkil;Jl. Rimo-Singkil Km. 8 Desa Gunung Lagan Kec. Gunung Meriah;Rumah Sakit Umum;C;BLUD;Pemkab;101;32;566
1171146;RS Ibu dan Anak Cempaka Az Zahra Banda Aceh;Aceh;Kota Banda Aceh;Jl. Syiah Kuala No. 88, Bandar Baru, Kec. Kuta Alam, Kota Banda Aceh, Provinsi Aceh;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;Perusahaan;46;18;66
1107014;RS Umum Daerah Cut Nyak Dhien;Aceh;Aceh Barat;Jl. Gajah Mada Meulaboh ;Rumah Sakit Umum;B;BLUD;Pemkab;267;16;812
1171015;RS Umum Daerah  Dr. Zainoel Abidin;Aceh;Kota Banda Aceh;Jl. Tgk Daud Beureueh, NO. 108 B. Aceh;Rumah Sakit Umum;A;BLUD;Pemprop;833;141;2039
1107017;RS Tk. IV IM 07.02;Aceh;Aceh Barat;Jl. Pocut Baren Ujung Karang Desa Suak Indrapuri Kec. Johan Pahlawan Meulaboh Aceh Barat;Rumah Sakit Umum;D;Non BLU/BLUD;TNI AD;56;23;20
1109031;RS Islam Ibnu Sina Sigli;Aceh;Pidie;Jl Lingkar Keunire no 21-24, Gampong Cot;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;72;31;196
1104012;RS Umum Nurul Hasanah;Aceh;Aceh Tenggara;Jl. A. Yani No. 23 Pulo Kemiri Kutacane;Rumah Sakit Umum;C;Non BLU/BLUD;SWASTA/LAINNYA;123;26;167
1110086;RS Umum Bunda ;Aceh;Kota Lhokseumawe;Jl. Darussalam Nomor 16, Desa/Kel. Lancang Garam, Kec. Banda Sakti;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;101;33;261
1172016;RS Umum Daerah Sabang;Aceh;Kota Sabang;Jl. Teuku Umar No. 21 Gampong Kuta Ateuh Kec. Sukakarya;Rumah Sakit Umum;C;Non BLU/BLUD;Pemkot;104;29;289
1117027;RS Ibu dan Anak Azalia;Aceh;Bener Meriah;Jl. Empun Bayak Kampung Bale Atu  Kec. Bukit;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;Perorangan;60;16;13
1107016;RS Umum Harapan Sehat;Aceh;Aceh Barat;Jl. Sisingamangaraja, Dusun III, Desa Gampa, Kecamatan Johan Pahlawan, Kabupaten Aceh Barat. Provinsi Aceh;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;51;25;53
1104011;RS Umum Daerah H. Sahudin Kutacane;Aceh;Aceh Tenggara;Jl. Kutacane - Blangkejeren Km. 3 Kec. Badar Kabupaten Aceh Tenggara Provinsi Aceh;Rumah Sakit Umum;C;BLUD;Pemkab;180;32;493
1109016;RS Umum Daerah TGK Chik Ditiro Sigli;Aceh;Pidie;Jl. Prof. A. Majid Ibrahim Sigli;Rumah Sakit Umum;B;BLUD;Pemkab;294;31;1949
1171150;RS Umum Pertamedika Ummi Rosnati;Aceh;Kota Banda Aceh;Jl. Sekolah No. 5 Gampoeng Ateuk Pahlawan, Kecamatan Baiturahman, Kota Banda Aceh 23241;Rumah Sakit Umum;C;Non BLU/BLUD;Perusahaan;151;54;243
1171041;RS Jiwa Aceh;Aceh;Kota Banda Aceh;Jl. Dr. T. Syarief Thayeb No.25 Banda Aceh;Rumah Sakit Khusus Jiwa;A;BLUD;Pemprop;354;29;541
1109029;RS Umum Citra Husada;Aceh;Pidie;Jl. Prof. A. Majid Ibrahim Kelurahan Lampeudeu Baroh Kecamatan  Pidie. Kabupaten Pidie. Provinsi Aceh.;Rumah Sakit Umum;D;Non BLU/BLUD;Perusahaan;89;75;159
1112011;RS Umum Daerah Teungku Peukan;Aceh;Aceh Barat Daya;Jl. Nasional Padang Meurante Desa Ujung Padang, Kec. Susoh;Rumah Sakit Umum;C;BLUD;Pemkab;256;96;1100
1111018;RS Umum PMI Cabang Aceh Utara;Aceh;Kota Lhokseumawe;Jl. Samudera, Desa/Kel Kampung Jawa, Kec. Banda Sakti;Rumah Sakit Umum;D;Non BLU/BLUD;Organisasi Sosial;73;15;60
1171145;RS Umum Meutia;Aceh;Kota Banda Aceh;Jl. Cut Meutia No. 55;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;51;14;63
1173023;RS Umum Cut Meutia;Aceh;Kota Langsa;Jl. Garuda No. 1  Kebun Baru, Kec. Paya Bujok Seulemak, Langsa Baro, Kota Langsa, Aceh;Rumah Sakit Umum;C;Non BLU/BLUD;BUMN;113;18;36
1110101;RS Umum Bireuen Medical Center ;Aceh;Bireuen;Bireuen, Aceh;Rumah Sakit Umum;D;Non BLU/BLUD;Organisasi Sosial;75;27;221
1107015;RS Umum Montella;Aceh;Aceh Barat;Jl. Beringin jaya ,  kel.  seunubok Kec. Johan pahlawan , kabupaten aceh barat,  Aceh 23611;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;51;16;55
1174016;RS Umum Cut Meutia Kab. Aceh Utara;Aceh;Kota Lhokseumawe;Jl. Banda Aceh-Medan Km.6 Buket Rata Lhokseumawe;Rumah Sakit Umum;B;BLUD;Pemkab;275;106;1352
1171096;RS Umum Harapan Bunda Banda Aceh;Aceh;Kota Banda Aceh;Jl. Teuku Umar No. 181-211, Kel. Setui, Kec. Baiturrahman;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;154;32;379
1111005;RS Umum Prima Inti Medika;Aceh;Aceh Utara;Jl. Singgalang No. 1 Komplek Perumahan PT. PIM Krueng Geukeuh Kab. Aceh Utara;Rumah Sakit Umum;D;Non BLU/BLUD;Perusahaan;70;29;44
1174024;RS Umum Az-Zuhra;Aceh;Kota Lhokseumawe;Jl. Pasar. Impres No.2 LK. IV Desa Kuta Blang  Kec. Banda Sakti, Kota Lhokseumawe, Aceh 24352;Rumah Sakit Umum;D;Non BLU/BLUD;Perusahaan;51;29;19
1118012;RS Umum Daerah Pidie Jaya;Aceh;Pidie Jaya;Jl. Banda Aceh - Medan Gp.Dayah Timu  KM. 158 Meureudu ;Rumah Sakit Umum;B;BLUD;Pemkab;250;16;235
1171147;RS Pendidikan Universitas Syiah Kuala;Aceh;Kota Banda Aceh;Jl. Lingkar Kampus USK, Kopelma Darussalam, Kota Banda Aceh;Rumah Sakit Umum;D;Non BLU/BLUD;Kementerian Lain;50;28;118
1114011;RS Umum Daerah Muda Sedia Kabupaten Aceh Tamiang;Aceh;Aceh Tamiang;Jl. Kesehatan Kab.Aceh Tamiang ;Rumah Sakit Umum;C;BLUD;Pemkab;287;31;398
1109042;RS Umum Harapan Ibu;Aceh;Pidie;Jl. Kembang Ranjong-Teupin Raya, Desa Gampong Sagoe No. 7 Kec. Glumpang Baro;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;58;24;0
1174019;RS Umum Bunga Melati;Aceh;Kota Lhokseumawe;Jl. Samudra Baru No.3, Keude Aceh Kec. Banda Sakti;Rumah Sakit Umum;D;Non BLU/BLUD;Perorangan;116;21;156
1173003;RS Umum Ummi Langsa;Aceh;Kota Langsa;Jl. Prof. Majid Ibrahim No.10 A Kelurahan. Gp Sungai Pauh Kecamatan Langsa Barat  Kota Langsa, Aceh;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;54;20;46
1110102;RS Umum Telaga Bunda;Aceh;Bireuen;Jl. Peutua Banta 7, Gampong Bireuen Meunasah Blang;Rumah Sakit Umum;D;Non BLU/BLUD;Organisasi Sosial;50;39;186
1108028;RS Hermina Aceh;Aceh;Aceh Besar;Jl. Soekarno Hatta,  Kec. Ingin Jaya;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;63;22;0
1173045;RS Cut Nyak Dhien Langsa;Aceh;Kota Langsa;Jl. T.M. Bachrun No.1. Kabupaten Kota Langsa Provinsi Aceh;Rumah Sakit Umum;D;Non BLU/BLUD;Organisasi Sosial;68;16;79
1277026;RS Umum Inanta;Sumatera Utara;Kota Padang Sidempuan;Jl. Sisingamangaraja No.85/87, Kota Padangsidimpuan Provinsi Sumatera Utara;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;101;31;94
1213059;RS Umum Putri Bidadari;Sumatera Utara;Langkat;JL. STABAT-TANJUNG PURA RT.002/RW.007 DUSUN DONDONG SEJATI DESA JENTERA STABAT KEC. WAMPU KAB. LANGKAT;Rumah Sakit Umum;B;Non BLU/BLUD;SWASTA/LAINNYA;367;44;721
1212023;RS Umum Dr. Gerhard L. Tobing;Sumatera Utara;Deli Serdang;Jl. Medan-Tanjung Morawa Km. 15,5, Kec. Tanjung Morawa, Kab. Deli Serdang, Prov. Sumatera Utara;Rumah Sakit Umum;C;Non BLU/BLUD;SWASTA/LAINNYA;101;14;211
1208066;RS Umum Utama;Sumatera Utara;Asahan;Jl. HOS. Cokroaminoto No. 93 Kel. Kisaran Kota Kec. Kisaran Barat;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;60;12;39
1273102;RS Murni Teguh Horas Insani;Sumatera Utara;Kota Pematang Siantar;Jl. Medan KM 2.5, Kel. Nagapitu, Kec. Siantar Martoba, Kota Pematang Siantar, Sumatra Utara;Rumah Sakit Umum;C;Non BLU/BLUD;Perusahaan;105;35;275
1272033;RS Umum Hadi Husada;Sumatera Utara;Kota Tanjung Balai;Jl Jend. Sudirman No. 26 Tanjungbalai Kel. Karya Kec. Tanjungbalai Selatan Kota Tanjungbalai  Provinsi sumatra Utara;Rumah Sakit Umum;D;Non BLU/BLUD;Perusahaan;74;22;98
1212198;RS Umum Daerah Bangun Purba;Sumatera Utara;Deli Serdang;Jl. Perintis Kemerdekaan No. 60 Desa Bangun Purba Kec.Bangun Purba;Rumah Sakit Umum;D;BLUD;Pemkab;55;13;0
1275826;RS Umum Bahagia Medan;Sumatera Utara;Kota Medan;Jl Bahagia No.85, Kelurahan Teladan Timur, Kecamatan Medan Kota, Provinsi Sumatera Utara;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;45;5;19
1275276;RS Umum Vina Estetica;Sumatera Utara;Kota Medan;Jl Sultan Iskandar Muda No.119, Kec. Medan Petisah, ;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;112;56;244
1205035;RS Umum Daerah Dolok Sanggul;Sumatera Utara;Humbang Hasundutan;Jl. dr. Ferdinand Lumban Tobing No. 1 Dolok Sanggul;Rumah Sakit Umum;C;BLUD;Pemkab;107;61;335
1205142;RS Umum Sint Lucia;Sumatera Utara;Tapanuli Utara;Jl. Sisingamangaraja No. 171/173 Siborongborong. Tapanuli Utara;Rumah Sakit Umum;D;Non BLU/BLUD;Organisasi Katholik;60;20;59
1214010;RS Umum Daerah Lukas Hilisimaetano;Sumatera Utara;Nias Selatan;Jl. RSUD Lukas No. 1 Hilisimaetano;Rumah Sakit Umum;D;Non BLU/BLUD;Pemkab;50;4;0
1275232;RS Khusus Bedah Accuplast;Sumatera Utara;Kota Medan;Jl Sei Bahbolon No.40, Kec.Medan Baru, Kota Medan, Sumatera Utara 2015;Rumah Sakit Khusus Bedah;C;Non BLU/BLUD;Organisasi Sosial;27;14;18
1275126;RS Umum Methodist;Sumatera Utara;Kota Medan;Jl M. H. Thamrin No. 105, Medan;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Protestan;106;57;104
1207073;RS Umum Citra Medika;Sumatera Utara;Labuhan Batu;Jl. Ahmad Yani No. 221 CDEF Rantau Parapat Kel. Kartini, Kec. Rantau Utara;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;17;3;0
1203022;RS Umum Daerah Panyabungan;Sumatera Utara;Mandailing Natal;Jl Merdeka No.40, Kayu Jati Panyabungan;Rumah Sakit Umum;C;BLUD;Pemkab;123;53;358
1277015;RS TNI Tk. IV 01.07.03;Sumatera Utara;Kota Padang Sidempuan;Jl. Sudirman No.1 Kelurahan : Losung Batu, Kecamatan : Padang Sidempuan.;Rumah Sakit Umum;D;Non BLU/BLUD;TNI AD;53;23;16
1276036;RS Umum Artha Medica;Sumatera Utara;Kota Binjai;Binjai Sumatera Utara;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;143;34;196
1275928;RS Khusus Mata Prima Vision;Sumatera Utara;Kota Medan;Jl. Pabrik Tenun No.51, RW.53,Kel. Sei Putih Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara, 20114;Rumah Sakit Khusus Mata;C;Non BLU/BLUD;Perusahaan;16;5;35
1275750;RS Umum Prof. Dr. Boloni;Sumatera Utara;Kota Medan;Jl Robert Wolter Monginsidi No.11 Medan;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;100;27;75
1225002;RS Pratama Kab. Nias Barat;Sumatera Utara;Nias Barat;JL. Budi Utomo Desa Onolimbu Kec. Lahomi ;Rumah Sakit Umum;D PRATAMA;Non BLU/BLUD;Pemkab;31;20;5
1209081;RS Umum Karya Husada;Sumatera Utara;Simalungun;Jl. Merdeka Nomor 12-18 Kelurahan Perdagangan III Kecamatan Bandar Kabupaten Simalungun;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;93;23;94
1209021;RS Umum Laras Kabupaten Simalungun;Sumatera Utara;Simalungun;Jl. Desa Naga Jaya I Kec. Bandar Huluan Kab.Simalungun;Rumah Sakit Umum;C;Non BLU/BLUD;BUMN;98;42;112
1213057;RS Umum Delia;Sumatera Utara;Langkat;Jln. KI Hajar Dewantara, No 09 Dusun V Desa Sei Limbat Kecamatan Selesai Kabupaten Langkat, Provinsi Sumatera Utara;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;114;32;215
1211126;RS Umum Amanda;Sumatera Utara;Karo;Jl Jamin Ginting Simpang Korpri No. 1 Berastagi;Rumah Sakit Umum;C;Non BLU/BLUD;Perusahaan;193;32;202
1208059;RS Umum Bunda Mulia;Sumatera Utara;Asahan;Jl. Abdi Setia Bakti, Kel. Sei Renggas, Kec. Kota Kisaran Barat, Kab. Asahan, Provinsi Sumatra Utara ;Rumah Sakit Umum;D;Non BLU/BLUD;Perorangan;82;26;76
1210021;RS Umum Serenapita;Sumatera Utara;Dairi;Jl. Sisingamangaraja No. 91 Sidikalang;Rumah Sakit Umum;D;Non BLU/BLUD;Perusahaan;53;20;0
1275932;RS Gigi dan Mulut Prima;Sumatera Utara;Kota Medan;Jl. Pabrik Tenun No. 103;Rumah Sakit Khusus Gigi dan Mulut;C;Non BLU/BLUD;SWASTA/LAINNYA;10;13;33
1212201;RS Dhillon;Sumatera Utara;Deli Serdang;Jl. Dahlan Tanjung Komplek Graha Abadi Permai Tanjung Morawa, Deli Serdang;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;53;10;0
1275909;RS Umum Madani;Sumatera Utara;Kota Medan;Jl. Arief Rahman Hakim No.168, Sukaramai I, Kec. Medan Area, Kota Medan, Sumatera Utara 20227, Indonesia;Rumah Sakit Umum;C;Non BLU/BLUD;Perusahaan;144;30;95
1274034;RS Umum Sri Pamela;Sumatera Utara;Kota Tebing Tinggi;Jl. Jend. Sudirman No. 299;Rumah Sakit Umum;C;Non BLU/BLUD;BUMN;167;55;285
1275998;RS Ibu dan Anak Stella Maris;Sumatera Utara;Kota Medan;Jl Samanhudi No.20-22, Kel. Jati, Kec. Medan Maimun, Kota Medan;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;Perusahaan;76;32;263
1275841;RS Umum Estomihi;Sumatera Utara;Kota Medan;Jl. Sisinga Mangaraja 235,Medan;Rumah Sakit Umum;C;Non BLU/BLUD;Perusahaan;115;28;170
1275516;RS Umum Mitra Medika;Sumatera Utara;Kota Medan;Jl. K.L. Yos Sudarso Km 7,5 Tanjung Mulia,Medan;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;163;81;432
1219016;RS Umum Kasih Permata Dara;Sumatera Utara;Batu Bara;Jl. Lintas Sumatera No. 215 Sipare-pare Kec. Air Putih Kab. Batubara;Rumah Sakit Umum;D;Non BLU/BLUD;Perorangan;47;8;0
1278002;RS Umum Bethesda Gunungsitoli;Sumatera Utara;Kota Gunungsitoli;Jl Diponegoro No.375 C Desa sifalaete Tabaoloho Kecamatan Gunungsitoli Kota Gunungsitoli;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;107;33;88
1205061;RS Umum HKBP Balige;Sumatera Utara;Toba Samosir;Jl. Gereja No.17, Balige;Rumah Sakit Umum;C;BLU;Organisasi Protestan;162;26;283
1219002;RS Umum Lasmi Kartika;Sumatera Utara;Batu Bara;Jl Pancasila Dusun X Desa Tanah Tinggi;Rumah Sakit Umum;D;Non BLU/BLUD;Organisasi Sosial;54;10;89
1275922;RS Khusus Mata Provinsi Sumatera Utara;Sumatera Utara;Kota Medan;Jl. Kapten Sumarsono No 01 Kelurahan Helvetia Timur Kecamatan Medan Helvetia;Rumah Sakit Khusus Mata;B;BLUD;Pemprop;30;11;127
